square_id,sequence_length,window_hours,window_days,captures_daily_lag_144,captures_weekly_lag_1008,train_samples,validation_samples,test_samples,train_X_float32_mb,lstm_relative_unroll_cost_vs_144,tcn_relative_input_length_vs_144,selected_primary
5161,144,24.0,1.0,True,False,5328,1008,1008,2.9268,1.0,1.0,True
5059,144,24.0,1.0,True,False,5328,1008,1008,2.9268,1.0,1.0,True
5259,144,24.0,1.0,True,False,5328,1008,1008,2.9268,1.0,1.0,True
5161,288,48.0,2.0,True,False,5184,1008,1008,5.6953,2.0,2.0,False
5059,288,48.0,2.0,True,False,5184,1008,1008,5.6953,2.0,2.0,False
5259,288,48.0,2.0,True,False,5184,1008,1008,5.6953,2.0,2.0,False
5161,1008,168.0,7.0,True,True,4464,1008,1008,17.165,7.0,7.0,False
5059,1008,168.0,7.0,True,True,4464,1008,1008,17.165,7.0,7.0,False
5259,1008,168.0,7.0,True,True,4464,1008,1008,17.165,7.0,7.0,False
