model,candidate_id,is_research_model,n_squares,mean_test_mae,mean_test_rmse,mean_test_mape,mean_normalized_test_mae,mean_normalized_test_rmse,total_fit_time_seconds
SARIMA,A,True,3,73.33333333333333,105.66666666666667,7.983333333333333,0.052833333333333336,0.07593333333333334,4239.9
LSTM,B,True,3,91.33333333333333,126.0,12.160000000000002,0.0654,0.09046666666666665,0.0
TCN,D,True,3,181.66666666666666,264.6666666666667,17.8,0.12789999999999999,0.18656666666666666,0.0
Naive,persistence,False,3,83.33333333333333,119.66666666666667,8.466666666666667,0.060066666666666664,0.08600000000000001,0.0
